date,Labour force,Participation rate,Part-time employment,Full-time employment,Employment,Year-ended employment growth,Year-ended employment trend growth,Employment to population ratio,Unemployment,Unemployment rate,Unemployment rate trend,Hours worked,Hours worked trend,Year-ended hours worked trend growth,Average hours worked trend,Job vacancies,Private sector job vacancies,Vacancies to labour force ratio
1987-01-31,7651.2979043,61.6968519,1354.2814798,5670.6007757,7024.8822556,2.26510203837125,2.36987265116453,56.6456992,626.4156487,8.1870508,8.3409594,1037407.162014,1045588.2788497,2.06459784827282,34.1819768214456,,,
1987-02-28,7687.7258395,61.8766215,1367.9064185,5688.6719146,7056.5783332,2.38543552562334,2.32757691850616,56.7966699,631.1475064,8.2098077,8.330674,1046366.640313,1047476.0953381,1.81739748657306,34.169847483623,69.5,51.6,0.904038482263569
1987-03-31,7721.3271734,62.0317604,1374.0135216,5696.0629418,7070.0764634,2.42682272587371,2.36724718347647,56.7997288,651.25071,8.43444,8.3103703,1045647.645572,1050086.147773,1.72909306932416,34.1720285104767,,,
1987-04-30,7725.813105,61.9614287,1373.6197114,5710.9568011,7084.5765125,1.62340393427425,1.82815805159238,56.8186774,641.2365925,8.2999237,8.2743406,1064475.689378,1053052.1533404,1.7782932832745,34.1843696326946,,,
1987-05-31,7723.2239387,61.8361196,1380.7234688,5709.0537433,7089.7772121,1.79112275791977,1.92266402508081,56.764418,633.4467267,8.2018433,8.2229489,1047533.296323,1056110.0359193,1.9028564257308,34.2054899395302,66.9,50.2,0.866218570521741
1987-06-30,7745.6696596,61.9106476,1395.7366557,5729.7089068,7125.4455624,1.71371430603642,2.0127780506411,56.9532357,620.2240972,8.0073657,8.1625008,1060331.893739,1058777.5047457,2.02462611018264,34.2238368198396,,,
1987-07-31,7800.9591622,62.2521391,1394.8467264,5776.3782855,7171.2250119,2.62823717258311,2.09851370523328,57.2268214,629.7341503,8.0725221,8.098538,1068792.32954,1061146.6868175,2.13151961969413,34.2407903256217,,,
1987-08-31,7780.2394413,61.9886133,1417.6395466,5732.0256688,7149.6652154,2.589286816424,2.198456433506,56.9645492,630.5742259,8.1048177,8.0368419,1057895.410464,1063371.9877999,2.22313269225973,34.2494521420328,70.1,53.5,0.901000547976541
1987-09-30,7737.5921571,61.5505198,1404.0732802,5733.4654222,7137.5387024,2.04839369036736,2.33440278540713,56.7772516,600.0534547,7.7550411,7.9759987,1066277.61057,1066021.5950286,2.3599016730889,34.2570138087278,,,
1987-10-31,7797.6426177,61.9136532,1401.0814808,5766.0678926,7167.1493734,2.1136867962903,2.51380870776547,56.9075069,630.4932443,8.0856904,7.904687,1070731.654954,1069150.7487727,2.57075253527108,34.2590152701934,,,
