date,Private dwelling approvals,Private dwelling approvals trend,Private non-residential building approvals,Consumer sentiment,Business conditions,Labour force,Participation rate,Part-time employment,Full-time employment,Employment,Year-ended employment growth,Year-ended employment trend growth,Employment to population ratio,Unemployment,Unemployment rate,Unemployment rate trend,Hours worked,Hours worked trend,Year-ended hours worked trend growth,Average hours worked trend
2013-07-31,14.802,14.96,2240.426,102.133073790257,-11.1197501732465,12141.5931386,64.8684601,3465.4053649,7991.9204799,11457.3258449,0.95848441406639,0.97452448131559,61.2126494,684.2672937,5.6357291,5.6972485,1613531.707958,1608979.0228145,1.24607805102763,32.2702634245714
2013-08-31,14.425,15.687,2443.651,105.684420018472,-10.8245614787801,12170.8062446,64.9366538,3462.3406361,7997.2662395,11459.6068756,0.86991229906905,0.9092755794833,61.1420895,711.199369,5.8434861,5.7261441,1617936.166077,1608551.3944258,1.20808012566296,32.2636962293573
2013-09-30,18.738,16.413,2145.151,110.63401559072,-8.18744054456671,12168.5415691,64.8369354,3471.239687,8002.9062349,11474.145922,0.73901220666215,0.80423702384131,61.1370273,694.3956471,5.7064821,5.7642008,1605494.767305,1606981.5599878,1.00155090177776,32.243517396186
2013-10-31,17.603,16.958,3351.21,108.323203830721,-7.24576224010398,12179.8398365,64.8313813,3505.4107709,7965.1837153,11470.5944862,0.6983679754089,0.66107501739918,61.0561793,709.2453503,5.823109,5.8059981,1603201.657147,1605142.1908184,0.72191707975222,32.2220400858432
2013-11-30,17.374,17.163,2110.934,110.347729189995,-6.18669835968247,12153.7617968,64.6270847,3494.7929339,7954.4854556,11449.2783896,0.56331716889273,0.5150314804465,60.8810257,704.4834072,5.7964227,5.8374865,1602651.80582,1603858.4602527,0.4847457847998,32.2051106930915
2013-12-31,17.121,17.014,2580.667,105.0274780711,1.64098051467345,12135.2206402,64.4632447,3509.8424303,7909.3077862,11419.1502165,0.1964586366415,0.39927194445,60.6594224,716.0704237,5.9007615,5.8506471,1601783.373312,1603402.9498091,0.33626746229658,32.1907357985257
2014-01-31,16.484,16.674,2639.19,103.293378982356,1.55865109724157,12177.5486549,64.5788029,3516.1733275,7937.1620763,11453.3354038,-0.14598425925614,0.34750253052398,60.7382249,724.2132511,5.9471185,5.84663,1594642.526744,1604060.2324421,0.3050226042653,32.1795323518371
2014-02-28,16.44,16.323,2283.913,100.151340486769,-1.83105350983427,12195.521315,64.5650404,3521.7216702,7957.1489696,11478.8706398,0.08828710646942,0.35762919960645,60.7709771,716.6506752,5.8763431,5.8374931,1604786.282283,1605806.002045,0.3515188958499,32.1732972518721
2014-03-31,15.732,16.134,2064.392,99.4577371260795,-3.82064385070837,12252.0451945,64.7550701,3542.9448176,7989.2821609,11532.2269785,0.84959312469821,0.4248163189481,60.9506539,719.818216,5.8750862,5.8386332,1611634.646325,1608177.1916859,0.41961261360366,32.1691204260885
2014-04-30,15.864,16.147,1428.123,99.7343562242776,-1.90560678273932,12248.9235239,64.6754497,3530.6887753,8007.2410222,11537.9297975,0.61566916207334,0.51449424544947,60.9213371,710.9937264,5.8045405,5.8623116,1609046.351099,1610702.1321035,0.45775229796166,32.1696642512499
2014-05-31,16.741,16.238,2174.357,92.9428381303617,-3.2908542709177,12238.5879184,64.5579348,3491.3333618,8021.5235398,11512.8569016,0.48194662396506,0.5855965527791,60.7297402,725.7310168,5.9298591,5.9195682,1610902.994723,1612899.3533004,0.45077411067949,32.1761044276672
2014-06-30,16.312,16.452,3209.703,93.1685707797842,-2.08719180162524,12270.941008,64.6656067,3528.8578594,7999.9106239,11528.7684833,0.5104687836379,0.62527384544206,60.7544938,742.1725247,6.048212,6.0049723,1616323.161104,1614307.6514584,0.39883400417604,32.181710792446
2014-07-31,16.807,16.835,1959.227,94.9054341117597,3.95183434406824,12304.7341237,64.7637321,3514.5902905,8030.7019871,11545.2922776,0.76777455656598,0.65169533527132,60.766548,759.4418461,6.1719484,6.1001048,1614499.635778,1614567.2942272,0.34731785395965,32.1726759823558
2014-08-31,18.02,17.343,1795.209,98.4687422267882,0.63825201449584,12299.1169916,64.6544528,3533.1779894,8015.6190739,11548.7970633,0.77830058804116,0.69801583916316,60.7101433,750.3199282,6.1006,6.1853681,1615080.004007,1614073.9092199,0.3433222471621,32.1500522194783
2014-09-30,16.502,17.87,1956.37,93.9713019710244,-3.05502414262251,12315.2147702,64.6594435,3535.2459685,8011.8801501,11547.1261186,0.6360403388288,0.7941727638512,60.6266933,768.0886516,6.2369083,6.2500746,1610540.454516,1613509.9215937,0.40624993891962,32.1194229568838
2014-10-31,18.1,18.366,2206.376,94.8118824306021,8.82296938156593,12325.9777423,64.6444298,3528.5958209,8013.7641225,11542.3599434,0.6256472346428,0.93890202343836,60.5346929,783.6177988,6.3574494,6.2857896,1611207.958459,1613902.6511274,0.5457747207139,32.0965447272323
2014-11-30,20.299,18.76,2083.936,96.5728516447111,3.06200022991959,12317.6980818,64.529679,3557.7335231,7984.3213856,11542.0549087,0.810326344971,1.09968735170067,60.466257,775.643173,6.2969815,6.2934816,1611863.115007,1615875.771068,0.7492750210269,32.0934875200314
2014-12-31,19.949,19.054,1848.344,91.0622386024552,1.55896773456194,12353.0615975,64.6435761,3568.7033167,8030.0814883,11598.784805,1.57309944342827,1.25495325686384,60.6964454,754.2767925,6.1059907,6.2757462,1601946.902596,1619515.34669,1.00488756633623,32.1112355042968
2015-01-31,18.637,19.264,3238.737,93.23243,-0.65445685666206,12395.7410596,64.7667893,3578.4942862,8029.9056886,11608.3999748,1.35388134139993,1.38349097014732,60.6529929,787.3410848,6.3517065,6.2380428,1629234.378417,1624014.895534,1.24400958818858,32.1352603939446
2015-02-28,19.18,19.421,2088.972,100.725153187674,0.49581869495588,12439.1346026,64.8933614,3605.8089849,8067.8910153,11673.7000002,1.69728683695136,1.47653683329962,60.9001878,765.4346024,6.1534393,6.1908323,1627595.45461,1628298.8943235,1.40072289242008,32.1492603214459
2015-03-31,20.398,19.5,1873.635,99.4715723147994,2.28033779867425,12453.657104,64.8691458,3592.1714675,8101.403362,11693.5748294,1.39910401695011,1.532891876322,60.9099965,760.0822746,6.1032857,6.1460322,1635998.434153,1631397.6606058,1.44389990356457,32.1409247011793
2015-04-30,18.857,19.493,1775.878,96.2489293151835,1.62563868799168,12453.3804606,64.8024707,3607.1340299,8085.0383402,11692.1723701,1.33683056932292,1.57104924206217,60.8414446,761.2080906,6.1124615,6.1147931,1631137.173417,1633165.8032687,1.39465086172472,32.1137952146271
2015-05-31,20.825,19.516,2333.959,102.369313991751,4.52776999073916,12473.379419,64.8413331,3626.2592989,8107.3397021,11733.599001,1.91735293234925,1.62650849163914,60.9956754,739.780418,5.930874,6.0960074,1636748.899289,1634349.7210164,1.32992599148278,32.0822030466389
2015-06-30,19.056,19.544,1945.967,95.3202803703007,5.83441073064424,12477.0828966,64.7954925,3620.3950211,8107.1430189,11727.53804,1.72411786209365,1.7257093500841,60.9029859,749.5448567,6.0073726,6.0832294,1632951.144281,1635900.511538,1.33759262431126,32.0589270802229
2015-07-31,18.994,19.602,2382.329,92.2476557468786,4.27020261395159,12547.8046018,65.0833851,3628.3968978,8132.1015862,11760.498484,1.86401696228635,1.87215446341775,60.9997586,787.3061177,6.2744531,6.065958,1638819.943879,1638246.7056198,1.4666103715382,32.0445993873988
2015-08-31,18.921,19.692,1910.301,99.4577803093036,7.35115826269453,12527.2541964,64.89776,3647.5208251,8117.144052,11764.6648771,1.8691800766505,2.06345424356411,60.9471466,762.5893193,6.0874419,6.0368709,1636492.828788,1641475.1011122,1.69764170870856,32.0348210411363
