date,Private dwelling approvals,Private dwelling approvals trend,Private non-residential building approvals,Consumer sentiment,Business conditions,Participation rate,Year-ended employment growth,Employment to population ratio,Unemployment rate,target_next_month_unemployment_rate
2011-05-31,12.612,12.823,1885.645,103.935478960834,-1.78566477470951,65.2589148,2.13802578859246,61.9873094,5.0132697,4.9165966
2011-06-30,12.267,12.798,1807.65,101.197625030288,-1.27653508321225,65.3063363,1.93647739566825,62.0954872,4.9165966,5.0928444
2011-07-31,12.642,12.706,1818.249,92.8481432677004,-3.45358542795842,65.3722528,1.73047648354814,62.0429457,5.0928444,5.2699381
2011-08-31,13.926,12.51,2419.996,89.6002164491244,-5.60207374922187,65.4652268,1.42628822749182,62.0152499,5.2699381,5.2217036
2011-09-30,12.352,12.255,1924.041,96.8864872365809,-1.40465671253648,65.5093912,1.43090668034296,62.0886849,5.2217036,5.1877066
2011-10-31,11.46,11.955,1765.665,97.2475119183194,-2.86679313199616,65.4059911,1.30409348373333,62.0129201,5.1877066,5.231202
2011-11-30,11.687,11.579,1792.205,103.352141501977,-1.98186836587254,65.3576439,0.8033329930747,61.9386535,5.231202,5.1968413
2011-12-31,11.822,11.207,1571.993,94.7461003476085,-2.92222260249663,65.1138566,0.55937258654828,61.7299928,5.1968413,5.0479176
2012-01-31,10.641,11.08,4801.321,97.0636455663774,-3.46275523547587,65.3404058,0.95217225107274,62.042076,5.0479176,5.1916616
2012-02-29,11.374,11.266,2328.4,101.091868049549,-1.08964408327047,65.11152,0.85594830578042,61.7311502,5.1916616,5.1831684
2012-03-31,11.607,11.635,1796.866,96.0725328797101,-0.57433654168311,65.3448074,1.05457546195278,61.957876,5.1831684,4.9948931
2012-04-30,10.829,12.068,1472.826,94.5403943894395,-3.33627133359593,65.0580548,1.24788967707958,61.8084745,4.9948931,5.2004095
2012-05-31,13.861,12.544,2778.386,95.277397734366,-6.87192189748294,65.3489109,1.71229435474698,61.9504999,5.2004095,5.1623453
2012-06-30,14.638,13.012,1844.899,95.5648536025001,-4.43796080073412,65.0848722,1.18621140359565,61.7249664,5.1623453,5.1823206
2012-07-31,11.572,13.445,2086.366,99.1314707523244,-6.6378709028159,65.0598325,1.23883366836346,61.6882234,5.1823206,5.1568972
2012-08-31,12.88,13.782,2599.471,96.6159288989782,-1.9957941670775,65.0168842,1.26659556198063,61.6640303,5.1568972,5.4883299
2012-09-30,15.561,13.97,1594.892,98.1890616707212,-7.4244120110567,65.316664,1.28030751001669,61.73187,5.4883299,5.410429
2012-10-31,14.122,13.936,2543.219,99.1622567862332,-8.88690539175736,65.1794458,1.26024595293828,61.6529582,5.410429,5.2568736
2012-11-30,14.004,13.741,2033.67,104.280799109,-9.43079334216405,64.9509793,1.176173285841,61.5365885,5.2568736,5.432419
2012-12-31,14.156,13.496,1614.623,100.033333930112,-9.04150802533836,65.0488061,1.46856742671648,61.5150824,5.432419,5.3895696
2013-01-31,11.844,13.236,2279.257,100.623415393708,-7.68728641038673,65.3291061,1.42732448394634,61.8081485,5.3895696,5.3942656
